# ENG-BREP design lane -- archived probe output
#
# NFA state count vs bounded-repeat count N, from the nfastats scratch compiler (mkscratch.sh + an fprintf in pcrec_build_nfa). dfa_lines is the emitted --no-captures artifact.
#
date:        2026-08-16T00:53:29Z
repo commit: 19f5c120258729fab816704dfda8848e0ea28780  (branch eng-brep)
gcc:         gcc (Ubuntu 15.2.0-16ubuntu1) 15.2.0
python:      Python 3.14.4
host:        Linux 7.0.0-29-generic, 12 cores
#
# EVIDENCE, NEVER AN ORACLE: no check reads this file.
#
pattern	k	nfa_fwd	nfa_rev	dfa_lines
((a)|b){0,2}c	2	15	15	128
((a)|b){0,4}c	4	27	27	129
((a)|b){0,8}c	8	51	51	130
((a)|b){0,16}c	16	99	99	133
((a)|b){0,32}c	32	195	195	138
((a)|b){0,64}c	64	387	387	148
((a)|b){0,128}c	128	771	771	168
((a)|b){0,256}c	256	1539	1539	208
((a)|b){0,1000}c	1000	6003	6003	440
((a)|b){0,4000}c	4000	24003	24003	1378

# the same count on the CURSOR rung (no choice point in the body)
(?:ab){0,2}y	2	9	9	129
(?:ab){0,64}y	64	195	195	168
(?:ab){0,4000}y	4000	12003	12003	2628
