# ENG-BREP design lane -- archived probe output
#
# probe_rungs.py with --engine=vm forced: what the VM WOULD do with every corpus pattern.
#
date:        2026-08-16T00:52:28Z
repo commit: 19f5c120258729fab816704dfda8848e0ea28780  (branch eng-brep)
gcc:         gcc (Ubuntu 15.2.0-16ubuntu1) 15.2.0
python:      Python 3.14.4
host:        Linux 7.0.0-29-generic, 12 cores
#
# EVIDENCE, NEVER AN ORACLE: no check reads this file.
#
pattern	engine	label	rung	detail
\d+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
\D+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[\d]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[\D]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
\s\w+	vm	L2	cursor	span-loop cursor {1,}, stride 1, greedy
\S+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[\w]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[^\W]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[a\d]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[\d-]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
(\d|x)+	vm	L0	frames-unbounded	frames rung, unbounded {1,}, greedy
\d{2,3}	vm	L0	cursor	span-loop cursor {2,3}, stride 1, greedy
[^\d]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[\da-c]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
\h+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
\H+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
\v+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
\V+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
\N+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[\h\d]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[[:alpha:]]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[[:^alpha:]]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[[:xdigit:]]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[x[:digit:]y]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[^[:alpha:]]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[[:alpha:][:digit:]]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[[:digit:]-]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
^[[:blank:]]+	vm	L2	cursor	span-loop cursor {1,}, stride 1, greedy
[[:lower:]]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
[[:upper:]]+	vm	L0	cursor	span-loop cursor {1,}, stride 1, greedy
